,Vehiculo,Marca,Modelo,Version,Traccion,Precio,Fecha matriculacion,Combustible,km,Carroceria,Cambio,Potencia,Garantia,Color,Distintivo ambiental,Meses
548,NISSAN X-Trail 1.6 dCi Acenta 4x2,NISSAN,X-Trail,Acenta,4x2,16300.0,2016-08-01,Diesel,45506.0,Todo Terreno,Manual,130.0,12.0,BLANCO,C,45
549,NISSAN X-Trail 1.7 dCi N-Connecta 4x2,NISSAN,X-Trail,N-Connecta,4x2,22740.0,2019-04-01,Diesel,19147.0,Todo Terreno,Manual,150.0,24.0,Negro,C,13
550,NISSAN Qashqai 1.5dCi N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,14500.0,2016-10-01,Diesel,69349.0,Todo Terreno,Manual,110.0,12.0,Blanco,C,43
551,NISSAN Qashqai 1.6dCi Acenta 4x2,NISSAN,Qashqai,Acenta,4x2,17400.0,2017-11-01,Diesel,31500.0,Todo Terreno,Manual,130.0,12.0,BRONCE                 / Metalizado,C,30
552,NISSAN Qashqai 2.0dCi Acenta 4x4,NISSAN,Qashqai,Acenta,4x4,8990.0,2011-05-01,Diesel,156000.0,Todo Terreno,Manual,150.0,12.0,Blanco,B,108
553,NISSAN Micra 1.5 DCI N-CONNECTA 90 5P,NISSAN,Micra,N-Connecta,4x2,14900.0,2019-05-01,Diesel,2295.0,Berlina mediana o grande,Manual,90.0,24.0,-,C,12
554,NISSAN Juke 1.6 DIG-T Tekna Premium,NISSAN,Juke,Tekna,4x2,14500.0,2015-06-01,Gasolina,59900.0,Todo Terreno,Manual,190.0,12.0,Azul,C,59
555,NISSAN Micra 1.5dCi S&S N-Connecta 90,NISSAN,Micra,N-Connecta,4x2,13900.0,2019-01-01,Diesel,578.0,Berlina,Manual,90.0,36.0,NARANJA                 / Metalizado,C,16
556,NISSAN Leaf 40 kWh Tekna,NISSAN,Leaf,Tekna,4x2,29000.0,2019-05-01,Eléctrico,3567.0,Berlina,Automático,150.0,Sí,-,0 EMISIONES,12
557,NISSAN Qashqai 1.2 DIG-T N-Connecta 4x2,NISSAN,Qashqai,N-Connecta,4x2,18900.0,2018-06-01,Gasolina,8746.0,Todo Terreno,Manual,115.0,24.0,-,C,23
558,NISSAN Micra  IG-T 74 kW (100 CV) E6D Acenta,NISSAN,Micra,Acenta,4x2,12350.0,2018-11-01,Gasolina,22910.0,Berlina mediana o grande,Manual,100.0,19.0,Enigma Black (metalizado)                 / Metalizado,C,18
559,NISSAN Qashqai 1.2 DIG-T N-CONNECTA 5P,NISSAN,Qashqai,N-Connecta,4x2,16500.0,2018-05-01,Gasolina,16837.0,Berlina mediana o grande,Manual,115.0,12.0,BLANCO PERLADO,C,24
